# f70_partition.tsv - D14's boundary, in the one form that can be vetoed.
#
# D14 [vixy 2026-08-31]: "Every source file must be in ASCII, accents are to be
# removed for this purpose."  Its boundary clause is [derived, veto-open]:
# "source file" = files whose bytes are read by humans and compilers, NOT files
# whose non-ASCII bytes are their FUNCTION.  This table IS that clause's
# challengeable form: every EXCLUDE row carries a one-line reason, and the rule
# applied throughout is "in doubt => EXCLUDE + flag, never silent conversion".
#
# Format:  decision <TAB> pathspec <TAB> reason
#   decision  CONVERT | EXCLUDE
#   pathspec  an exact tracked path, or a prefix ending in '/'
#   matching  LONGEST pathspec wins, so an EXCLUDE island inside a CONVERT
#             subtree is one reviewable row rather than a hidden special case.
#
# CONVERT means: the transliteration map is applied AND f70_ascii.py's gate
# asserts ZERO non-ASCII bytes afterwards.  EXCLUDE means: not one byte touched.
#
# The table covers the WHOLE tree, not only today's non-ASCII files: the gate
# fails on any non-ASCII file matching no row, so a future file cannot slip in
# unclassified.  That is why CONVERT rows name whole subtrees.

# ---------------------------------------------------------------- CONVERT ----
# The engine and everything first-party that compiles, builds or is read as code.
CONVERT	src/	engine source - the core of D14; comments and literals are read by humans and compilers
CONVERT	shaders/src/	GLSL source compiled into the engine
CONVERT	planetsephems/	ephemeris source compiled into the engine (vendored lineage, but locally modified and built as ours)
CONVERT	cmake/	build-system source
CONVERT	CMakeLists.txt	build-system source (top level)
CONVERT	install_dependancies_ubuntu.sh	build/setup script
CONVERT	install_dependancies_mageia.sh	build/setup script
CONVERT	install_src.sh	build/setup script
CONVERT	localinstall_src.sh	build/setup script
CONVERT	install_sts-extension.sh	build/setup script
CONVERT	debug.sh	developer script
CONVERT	launch_debug.sh	developer script
CONVERT	AUTHORS	project text read as source-adjacent prose
CONVERT	README	project text
CONVERT	INSTALL	project text
CONVERT	TRADEMARKS	project text
CONVERT	COPYING	project text
CONVERT	LICENSE	project text
CONVERT	vcpkg.json	build manifest
CONVERT	.gitignore	repo control file
CONVERT	.gitmodules	repo control file
CONVERT	util/	first-party developer tools built from this tree (C/C++/CMake/scripts)
CONVERT	util/Atmosphere1/data/shaders/	GLSL SOURCE for the Atmosphere1 tool - it sits under a directory called data/, but a shader is code (found 2026-08-31 auditing my own table: the EXCLUDE row that covered it said "binary assets", which described two of its four members)
CONVERT	util/scedit/src/	scedit source - first-party, ours to keep ASCII
CONVERT	util/scedit/tests/	scedit test sources and fixtures we author (islands excluded below)
